Sex,X,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
1,45,-0.3521,2.441,0.0918,2.0643,2.107,2.1752,2.296,2.441,2.5987,2.7526,2.8507,2.9169
1,45.5,-0.3521,2.5244,0.0915,2.136,2.1801,2.2504,2.3749,2.5244,2.6869,2.8455,2.9466,3.0148
1,46,-0.3521,2.6077,0.0912,2.2076,2.2531,2.3255,2.4537,2.6077,2.775,2.9383,3.0422,3.1124
1,46.5,-0.3521,2.6913,0.0909,2.2796,2.3264,2.4009,2.5329,2.6913,2.8634,3.0312,3.1381,3.2103
1,47,-0.3521,2.7755,0.0907,2.3518,2.3999,2.4767,2.6125,2.7755,2.9526,3.1252,3.2352,3.3094
1,47.5,-0.3521,2.8609,0.0904,2.4254,2.4749,2.5538,2.6934,2.8609,3.0428,3.2201,3.333,3.4091
1,48,-0.3521,2.948,0.0901,2.5006,2.5515,2.6325,2.776,2.948,3.1348,3.3168,3.4327,3.5108
1,48.5,-0.3521,3.0377,0.0898,2.5781,2.6303,2.7136,2.861,3.0377,3.2295,3.4164,3.5353,3.6155
1,49,-0.3521,3.1308,0.0895,2.6585,2.7122,2.7978,2.9493,3.1308,3.3278,3.5197,3.6417,3.7241
1,49.5,-0.3521,3.2276,0.0892,2.7421,2.7974,2.8854,3.041,3.2276,3.43,3.627,3.7524,3.8369
1,50,-0.3521,3.3278,0.0889,2.8288,2.8856,2.9761,3.1361,3.3278,3.5357,3.7381,3.8668,3.9536
1,50.5,-0.3521,3.4311,0.0886,2.9181,2.9765,3.0696,3.2341,3.4311,3.6447,3.8526,3.9848,4.0739
1,51,-0.3521,3.5376,0.0883,3.0103,3.0704,3.166,3.3351,3.5376,3.7571,3.9706,4.1063,4.1979
1,51.5,-0.3521,3.6477,0.088,3.1057,3.1674,3.2658,3.4396,3.6477,3.8732,4.0926,4.2319,4.3259
1,52,-0.3521,3.762,0.0877,3.2047,3.2682,3.3694,3.5481,3.762,3.9937,4.2191,4.3623,4.4588
1,52.5,-0.3521,3.8814,0.0874,3.3082,3.3735,3.4776,3.6614,3.8814,4.1196,4.3513,4.4984,4.5976
1,53,-0.3521,4.006,0.0871,3.4162,3.4834,3.5906,3.7797,4.006,4.251,4.4892,4.6404,4.7423
1,53.5,-0.3521,4.1354,0.0868,3.5284,3.5977,3.7079,3.9026,4.1354,4.3874,4.6323,4.7878,4.8926
1,54,-0.3521,4.2693,0.0865,3.6446,3.7159,3.8294,4.0297,4.2693,4.5285,4.7804,4.9403,5.048
1,54.5,-0.3521,4.4066,0.0862,3.7638,3.8372,3.954,4.1601,4.4066,4.6732,4.9322,5.0965,5.2072
1,55,-0.3521,4.5467,0.0859,3.8856,3.9611,4.0812,4.2933,4.5467,4.8208,5.0869,5.2558,5.3695
1,55.5,-0.3521,4.6892,0.0856,4.0095,4.0871,4.2107,4.4287,4.6892,4.9709,5.2443,5.4177,5.5345
1,56,-0.3521,4.8338,0.0854,4.1346,4.2145,4.3416,4.5659,4.8338,5.1234,5.4046,5.5828,5.7029
1,56.5,-0.3521,4.9796,0.0851,4.2616,4.3436,4.4742,4.7045,4.9796,5.2769,5.5653,5.7482,5.8714
1,57,-0.3521,5.1259,0.0848,4.3891,4.4734,4.6074,4.8437,5.1259,5.4308,5.7266,5.9141,6.0403
1,57.5,-0.3521,5.2721,0.0846,4.5159,4.6024,4.74,4.9825,5.2721,5.5849,5.8883,6.0806,6.2101
1,58,-0.3521,5.418,0.0843,4.6434,4.732,4.8729,5.1214,5.418,5.7383,6.0489,6.2457,6.3781
1,58.5,-0.3521,5.5632,0.0841,4.7695,4.8603,5.0048,5.2594,5.5632,5.8913,6.2093,6.4108,6.5465
1,59,-0.3521,5.7074,0.0838,4.8958,4.9886,5.1364,5.3967,5.7074,6.0427,6.3677,6.5736,6.7121
1,59.5,-0.3521,5.8501,0.0836,5.02,5.115,5.2661,5.5324,5.8501,6.193,6.5252,6.7356,6.8772
1,60,-0.3521,5.9907,0.0834,5.1424,5.2396,5.394,5.6661,5.9907,6.3409,6.6802,6.8951,7.0397
1,60.5,-0.3521,6.1284,0.0832,5.2625,5.3617,5.5194,5.7971,6.1284,6.4858,6.832,7.0512,7.1986
1,61,-0.3521,6.2632,0.0831,5.3792,5.4805,5.6415,5.925,6.2632,6.628,6.9813,7.205,7.3555
1,61.5,-0.3521,6.3954,0.0829,5.4947,5.5979,5.762,6.0509,6.3954,6.767,7.1268,7.3546,7.5078
1,62,-0.3521,6.5251,0.0828,5.6072,5.7123,5.8795,6.174,6.5251,6.9037,7.2703,7.5024,7.6585
1,62.5,-0.3521,6.6527,0.0827,5.7178,5.825,5.9953,6.2952,6.6527,7.0382,7.4115,7.6478,7.8067
1,63,-0.3521,6.7786,0.0826,5.8271,5.9361,6.1095,6.4147,6.7786,7.1709,7.5508,7.7912,7.9529
1,63.5,-0.3521,6.9028,0.0825,5.9349,6.0458,6.2222,6.5327,6.9028,7.3018,7.6881,7.9326,8.097
1,64,-0.3521,7.0255,0.0824,6.0415,6.1543,6.3336,6.6493,7.0255,7.4311,7.8237,8.0722,8.2393
1,64.5,-0.3521,7.1467,0.0823,6.1468,6.2614,6.4436,6.7644,7.1467,7.5588,7.9576,8.21,8.3797
1,65,-0.3521,7.2666,0.0822,6.251,6.3675,6.5525,6.8784,7.2666,7.6851,8.0901,8.3463,8.5186
1,65.5,-0.3521,7.3854,0.0822,6.3532,6.4716,6.6597,6.9908,7.3854,7.8107,8.2223,8.4828,8.6579
1,66,-0.3521,7.5034,0.0822,6.4547,6.575,6.7661,7.1025,7.5034,7.9355,8.3537,8.6183,8.7962
1,66.5,-0.3521,7.6206,0.0821,6.5567,6.6787,6.8726,7.2139,7.6206,8.0589,8.483,8.7514,8.9319
1,67,-0.3521,7.737,0.0821,6.6569,6.7807,6.9776,7.3241,7.737,8.182,8.6126,8.8851,9.0683
1,67.5,-0.3521,7.8526,0.0821,6.7564,6.882,7.0818,7.4335,7.8526,8.3042,8.7413,9.0178,9.2038
1,68,-0.3521,7.9674,0.0821,6.8551,6.9826,7.1854,7.5422,7.9674,8.4257,8.8691,9.1497,9.3383
1,68.5,-0.3521,8.0816,0.0822,6.9521,7.0816,7.2874,7.6498,8.0816,8.547,8.9974,9.2824,9.4741
1,69,-0.3521,8.1955,0.0822,7.0501,7.1814,7.3902,7.7576,8.1955,8.6675,9.1242,9.4132,9.6076
1,69.5,-0.3521,8.3092,0.0822,7.1479,7.2811,7.4927,7.8653,8.3092,8.7877,9.2508,9.5438,9.7409
1,70,-0.3521,8.4227,0.0823,7.2443,7.3794,7.5941,7.9722,8.4227,8.9084,9.3784,9.6759,9.8759
1,70.5,-0.3521,8.5358,0.0824,7.3402,7.4773,7.6951,8.0787,8.5358,9.0286,9.5056,9.8075,10.0105
1,71,-0.3521,8.648,0.0824,7.4367,7.5756,7.7963,8.1849,8.648,9.1473,9.6306,9.9364,10.1421
1,71.5,-0.3521,8.7594,0.0825,7.5312,7.6719,7.8957,8.2898,8.7594,9.2658,9.7559,10.0661,10.2748
1,72,-0.3521,8.8697,0.0825,7.626,7.7685,7.9951,8.3941,8.8697,9.3824,9.8788,10.1929,10.4042
